date,state,positive
20200418,Lima,10234
20200418,Callao,1180
20200418,Lambayeque,642
20200418,Loreto,485
20200418,Piura,344
20200418,Ancash,217
20200418,La Libertad,211
20200418,Arequipa,146
20200418,Junín,130
20200418,Ica,124
20200418,Cusco,123
20200418,Tumbes,86
20200418,San Martín,81
20200418,Ucayali,73
20200418,Huánuco,64
20200418,Cajamarca,52
20200418,Amazonas,51
20200418,Apurímac,35
20200418,Ayacucho,29
20200418,Tacna,28
20200418,Moquegua,28
20200418,Madre de Dios,21
20200418,Huancavelica,18
20200418,Pasco,13
20200418,Puno,05
20200417,Lima,9793
20200417,Callao,1080
20200417,Lambayeque,600
20200417,Loreto,431
20200417,Piura,264
20200417,La Libertad,194
20200417,Ancash,189
20200417,Arequipa,134
20200417,Cusco,112
20200417,Ica,119
20200417,Junín,101
20200417,Tumbes,86
20200417,Ucayali,56
20200417,San Martín,49
20200417,Amazonas,46
20200417,Huánuco,45
20200417,Cajamarca,38
20200417,Apurímac,32
20200417,Moquegua,24
20200417,Ayacucho,23
20200417,Madre de Dios,21
20200417,Tacna,20
20200417,Huancavelica,17
20200417,Pasco,13
20200417,Puno,02
20200416,Lima,9107
20200416,Callao,1008
20200416,Lambayeque,571
20200416,Loreto,412
20200416,Piura,233
20200416,La Libertad,193
20200416,Ancash,171
20200416,Arequipa,111
20200416,Cusco,109
20200416,Ica,106
20200416,Tumbes,85
20200416,Junín,79
20200416,Ucayali,49
20200416,San Martín,47
20200416,Huánuco,42
20200416,Amazonas,23
20200416,Ayacucho,23
20200416,Cajamarca,22
20200416,Apurímac,22
20200416,Moquegua,21
20200416,Madre de Dios,19
20200416,Tacna,14
20200416,Pasco,11
20200416,Huancavelica,11
20200416,Puno,02
20200415,Lima,8412
20200415,Callao,939
20200415,Lambayeque,428
20200415,Loreto,396
20200415,Piura,229
20200415,La Libertad,184
20200415,Ancash,144
20200415,Cusco,108
20200415,Ica,101
20200415,Arequipa,98
20200415,Tumbes,82
20200415,Junín,79
20200415,San Martín,48
20200415,Huánuco,39
20200415,Ucayali,32
20200415,Amazonas,25
20200415,Ayacucho,22
20200415,Cajamarca,20
20200415,Apurímac,20
20200415,Madre de Dios,19
20200415,Moquegua,16
20200415,Pasco,11
20200415,Huancavelica,11
20200415,Tacna,10
20200415,Puno,02
20200414,Lima,7476
20200414,Callao,908
20200414,Lambayeque,427
20200414,Loreto,357
20200414,Piura,224
20200414,La Libertad,166
20200414,Ancash,124
20200414,Cusco,106
20200414,Arequipa,99
20200414,Ica,76
20200414,Tumbes,69
20200414,Junín,68
20200414,Ucayali,32
20200414,Amazonas,25
20200414,San Martín,23
20200414,Cajamarca,19
20200414,Madre de Dios,19
20200414,Huánuco,15
20200414,Ayacucho,15
20200414,Moquegua,13
20200414,Pasco,11
20200414,Huancavelica,10
20200414,Apurímac,10
20200414,Tacna,09
20200414,Puno,02
20200413,Lima,7458
20200413,Callao,733
20200413,Lambayeque,392
20200413,Loreto,340
20200413,Piura,120
20200413,La Libertad,115
20200413,Ancash,110
20200413,Arequipa,98
20200413,Tumbes,72
20200413,Junín,68
20200413,Cusco,59
20200413,Ica,58
20200413,Amazonas,25
20200413,San Martín,23
20200413,Ucayali,17
20200413,Huánuco,15
20200413,Moquegua,12
20200413,Ayacucho,11
20200413,Pasco,11
20200413,Cajamarca,11
20200413,Huancavelica,10
20200413,Madre de Dios,10
20200413,Tacna,09
20200413,Apurímac,05
20200413,Puno,02
20200412,Lima,5456
20200412,Callao,596
20200412,Loreto,322
20200412,Lambayeque,355
20200412,La Libertad,110
20200412,Piura,104
20200412,Ancash,102
20200412,Arequipa,86
20200412,Tumbes,69
20200412,Junín,64
20200412,Cusco,59
20200412,Ica,58
20200412,San Martín,23
20200412,Amazonas,19
20200412,Ucayali,15
20200412,Ayacucho,11
20200412,Pasco,11
20200412,Cajamarca,11
20200412,Huánuco,10
20200412,Moquegua,10
20200412,Tacna,09
20200412,Huancavelica,09
20200412,Apurímac,05
20200412,Madre de Dios,03
20200412,Puno,02
20200411,Lima,4933
20200411,Callao,541
20200411,Lambayeque,326
20200411,Loreto,315
20200411,La Libertad,108
20200411,Piura,91
20200411,Ancash,88
20200411,Arequipa,85
20200411,Tumbes,68
20200411,Junín,58
20200411,Cusco,58
20200411,Ica,47
20200411,Amazonas,22
20200411,San Martín,20
20200411,Ucayali,14
20200411,Ayacucho,13
20200411,Cajamarca,11
20200411,Tacna,09
20200411,Huánuco,09
20200411,Pasco,09
20200411,Moquegua,08
20200411,Huancavelica,07
20200411,Madre de Dios,04
20200411,Apurímac,03
20200411,Puno,01
20200410,Lima,4210
20200410,Callao,541
20200410,Lambayeque,326
20200410,Loreto,315
20200410,La Libertad,108
20200410,Piura,91
20200410,Ancash,88
20200410,Arequipa,85
20200410,Tumbes,68
20200410,Junín,58
20200410,Cusco,58
20200410,Ica,47
20200410,Amazonas,22
20200410,San Martín,20
20200410,Ucayali,14
20200410,Ayacucho,13
20200410,Cajamarca,11
20200410,Tacna,09
20200410,Huánuco,09
20200410,Pasco,09
20200410,Moquegua,08
20200410,Huancavelica,07
20200410,Madre de Dios,04
20200410,Apurímac,03
20200410,Puno,01
20200409,Lima,3704
20200409,Callao,413
20200409,Loreto,315
20200409,Lambayeque,302
20200409,La Libertad,96
20200409,Arequipa,77
20200409,Cusco,55
20200409,Ancash,57
20200409,Piura,53
20200409,Junín,42
20200409,Ica,34
20200409,Tumbes,27
20200409,San Martín,15
20200409,Cajamarca,11
