state,date,ML,Low_90,High_90,Low_50,High_50
Ancash,2020-04-08,3.0,1.01,6.99,2.04,4.45
Ancash,2020-04-09,2.52,0.93,4.69,1.87,3.44
Ancash,2020-04-10,2.29,0.77,4.05,1.72,3.09
Ancash,2020-04-11,2.12,0.64,3.69,1.58,2.86
Ancash,2020-04-12,1.97,0.53,3.43,1.3800000000000001,2.6
Ancash,2020-04-13,1.84,0.46,3.25,1.32,2.5100000000000002
Ancash,2020-04-14,1.83,0.47000000000000003,3.2,1.3,2.46
Ancash,2020-04-15,1.59,0.32,2.9,1.09,2.21
Ancash,2020-04-16,1.62,0.35000000000000003,2.91,1.1500000000000001,2.2600000000000002
Ancash,2020-04-17,1.62,0.38,2.9,1.1,2.18
Ancash,2020-04-18,1.51,0.33,2.7600000000000002,1.03,2.08
Callao,2020-04-01,3.0,1.01,6.99,2.04,4.45
Callao,2020-04-02,4.89,2.92,6.97,4.13,5.8100000000000005
Callao,2020-04-05,4.1,2.74,5.49,3.5700000000000003,4.7
Callao,2020-04-06,3.74,2.67,4.86,3.35,4.25
Callao,2020-04-07,2.94,2.0,3.91,2.62,3.41
Callao,2020-04-08,2.43,1.55,3.33,2.09,2.82
Callao,2020-04-09,2.15,1.33,3.04,1.83,2.5300000000000002
Callao,2020-04-10,1.92,1.11,2.7600000000000002,1.6300000000000001,2.31
Callao,2020-04-11,1.56,0.77,2.39,1.29,1.96
Callao,2020-04-12,1.3,0.52,2.13,1.03,1.7
Callao,2020-04-13,1.01,0.24,1.79,0.72,1.3800000000000001
Callao,2020-04-14,0.98,0.21,1.76,0.72,1.3900000000000001
Callao,2020-04-15,0.93,0.17,1.7,0.63,1.29
Callao,2020-04-16,1.04,0.29,1.8800000000000001,0.73,1.4000000000000001
Callao,2020-04-17,1.0,0.23,1.79,0.73,1.4000000000000001
Callao,2020-04-18,0.76,0.06,1.48,0.44,1.07
Ica,2020-04-13,3.0,1.01,6.99,2.04,4.45
Ica,2020-04-14,2.52,0.93,4.69,1.87,3.44
Ica,2020-04-15,2.14,0.64,3.86,1.58,2.93
Ica,2020-04-16,2.0300000000000002,0.5700000000000001,3.62,1.44,2.72
Ica,2020-04-17,1.6600000000000001,0.29,3.09,1.11,2.33
Ica,2020-04-18,1.6300000000000001,0.26,3.02,1.04,2.25
La Libertad,2020-04-06,3.0,1.01,6.99,2.04,4.45
La Libertad,2020-04-07,2.33,0.78,4.41,1.6400000000000001,3.15
La Libertad,2020-04-08,2.04,0.54,3.74,1.43,2.77
La Libertad,2020-04-09,1.84,0.4,3.4,1.25,2.5300000000000002
La Libertad,2020-04-10,1.79,0.37,3.3000000000000003,1.26,2.5300000000000002
La Libertad,2020-04-11,1.87,0.39,3.3000000000000003,1.28,2.5300000000000002
La Libertad,2020-04-12,1.76,0.38,3.19,1.16,2.37
La Libertad,2020-04-13,1.55,0.25,2.9,1.02,2.19
La Libertad,2020-04-14,1.37,0.15,2.67,0.86,1.99
